facility_type,name,road_address,jibun_address,district,facility_kind,hub_suitability,address
lifelong_education,풀잎문화센터둔산교육원평생교육원,"대전광역시 서구 둔산로 67, 203호 (둔산동,경보빌딩)",,서구,시민사회단체부설,rule_include,"대전광역시 서구 둔산로 67, 203호 (둔산동,경보빌딩)"
lifelong_education,대덕넷아카데미평생교육원,"대전광역시 유성구 대덕대로 582, 401호 (도룡동, 옥토빌딩)",,유성구,언론기관부설,rule_include,"대전광역시 유성구 대덕대로 582, 401호 (도룡동, 옥토빌딩)"
lifelong_education,대전반딧불평생교육원,"대전광역시 유성구 유성대로 798-1, 6층",,유성구,시민사회단체부설,rule_include,"대전광역시 유성구 유성대로 798-1, 6층"
lifelong_education,한국평생교육원,"대전광역시 유성구 도안대로589번길 13, 2층 일부 (봉명동)",,유성구,언론기관부설,rule_include,"대전광역시 유성구 도안대로589번길 13, 2층 일부 (봉명동)"
lifelong_education,백합평생교육원,"대전광역시 서구 중반5길125, 3층 (변동)",,서구,언론기관부설,rule_include,"대전광역시 서구 중반5길125, 3층 (변동)"
lifelong_education,케이티씨에스평생교육원,"대전광역시 서구 갈마로 160,   제1연수관 6층 (괴정동)",,서구,지식인력개발형태,rule_include,"대전광역시 서구 갈마로 160,   제1연수관 6층 (괴정동)"
lifelong_education,모두사랑장애인야간학교평생교육원,"대전광역시 서구 둔산남로 98-17, 5층 (탄방동)",,서구,학교형태,rule_include,"대전광역시 서구 둔산남로 98-17, 5층 (탄방동)"
lifelong_education,한밭장애인자립생활센터부설대전장애인평생교육원,"대전광역시 서구 둔산로31번길 72, 3층 일부 (둔산동)",,서구,장애인,rule_include,"대전광역시 서구 둔산로31번길 72, 3층 일부 (둔산동)"
lifelong_education,대전장애인배움터풀꽃야학평생교육원,"대전광역시 서구 갈마로 107, 4층 일부 (갈마동)",,서구,장애인,rule_include,"대전광역시 서구 갈마로 107, 4층 일부 (갈마동)"
lifelong_education,비즈메카인재개발평생교육원,"대전광역시 서구 문정로 12, 402호 (탄방동)",,서구,언론기관부설,rule_include,"대전광역시 서구 문정로 12, 402호 (탄방동)"
lifelong_education,비욘드피티필라테스평생교육원,"대전광역시 유성구 신성남로 57, 3층 (신성동)",,유성구,언론기관부설,rule_include,"대전광역시 유성구 신성남로 57, 3층 (신성동)"
lifelong_education,화수분평생교육원,"대전광역시 유성구 학하서로53번길 6, 102호 (계산동)",,유성구,언론기관부설,rule_include,"대전광역시 유성구 학하서로53번길 6, 102호 (계산동)"
lifelong_education,필라테스정원반석점평생교육원,"대전광역시 유성구 반석로 15, 2층 (반석동)",,유성구,언론기관부설,rule_include,"대전광역시 유성구 반석로 15, 2층 (반석동)"
lifelong_education,리본대전둔산점평생교육원,"대전광역시 서구 둔산남로 108, 4층 (탄방동)",,서구,언론기관부설,rule_include,"대전광역시 서구 둔산남로 108, 4층 (탄방동)"
