facility_type,name,road_address,jibun_address,district,facility_kind,hub_suitability,address,위도,경도,geocode_method,needs_review
lifelong_education,케이에이지이(KAGE)교육학술원평생교육원,"대전광역시 서구 둔산대로117번길 22, 4층 일부, 5층 일부 (만년동)",,서구,지식인력개발형태,rule_include,"대전광역시 서구 둔산대로117번길 22, 4층 일부, 5층 일부 (만년동)",36.3659111239732,127.382560451958,도로명원본,False
lifelong_education,풀잎문화센터둔산교육원평생교육원,"대전광역시 서구 둔산로 67, 203호 (둔산동,경보빌딩)",,서구,시민사회단체부설,rule_include,"대전광역시 서구 둔산로 67, 203호 (둔산동,경보빌딩)",36.3515630663006,127.381298426987,도로명원본,False
lifelong_education,대덕넷아카데미평생교육원,"대전광역시 유성구 대덕대로 582, 401호 (도룡동, 옥토빌딩)",,유성구,언론기관부설,rule_include,"대전광역시 유성구 대덕대로 582, 401호 (도룡동, 옥토빌딩)",36.3849284550226,127.378967845502,도로명원본,False
lifelong_education,대전반딧불평생교육원,"대전광역시 유성구 유성대로 798-1, 6층",,유성구,시민사회단체부설,rule_include,"대전광역시 유성구 유성대로 798-1, 6층",36.363108691911,127.337701594542,도로명원본,False
lifelong_education,한국평생교육원,"대전광역시 유성구 도안대로589번길 13, 2층 일부 (봉명동)",,유성구,언론기관부설,rule_include,"대전광역시 유성구 도안대로589번길 13, 2층 일부 (봉명동)",36.3529037886539,127.340146908699,도로명원본,False
lifelong_education,백합평생교육원,"대전광역시 서구 중반5길125, 3층 (변동)",,서구,언론기관부설,rule_include,"대전광역시 서구 중반5길125, 3층 (변동)",36.3260868875144,127.386267617514,도로명원본,False
lifelong_education,케이티씨에스평생교육원,"대전광역시 서구 갈마로 160,   제1연수관 6층 (괴정동)",,서구,지식인력개발형태,rule_include,"대전광역시 서구 갈마로 160,   제1연수관 6층 (괴정동)",36.96935431915469,127.48852361677008,manual_override,False
lifelong_education,모두사랑장애인야간학교평생교육원,"대전광역시 서구 둔산남로 98-17, 5층 (탄방동)",,서구,학교형태,rule_include,"대전광역시 서구 둔산남로 98-17, 5층 (탄방동)",36.3482440281525,127.388630887003,도로명원본,False
lifelong_education,한밭장애인자립생활센터부설대전장애인평생교육원,"대전광역시 서구 둔산로31번길 72, 3층 일부 (둔산동)",,서구,장애인,rule_include,"대전광역시 서구 둔산로31번길 72, 3층 일부 (둔산동)",36.354868667745,127.377807808839,도로명원본,False
lifelong_education,대전장애인배움터풀꽃야학평생교육원,"대전광역시 서구 갈마로 107, 4층 일부 (갈마동)",,서구,장애인,rule_include,"대전광역시 서구 갈마로 107, 4층 일부 (갈마동)",36.3432629273085,127.370830867372,도로명원본,False
lifelong_education,비즈메카인재개발평생교육원,"대전광역시 서구 문정로 12, 402호 (탄방동)",,서구,언론기관부설,rule_include,"대전광역시 서구 문정로 12, 402호 (탄방동)",36.3453226278259,127.381489901671,도로명원본,False
