학교ID,학교명,학교급구분,설립일자,설립형태,본교분교구분,운영상태,소재지지번주소,소재지도로명주소,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,생성일자,변경일자,위도,경도,데이터기준일자
B000010529,구례동중학교,중학교,1970-03-16,공립,본교,운영,전라남도 구례군 토지면 파도리 25,전라남도 구례군 토지면 섬진강대로 4856-10,8490000,전라남도교육청,8581000,전라남도구례교육지원청,2013-11-29,2025-10-25,35.1925103182,127.5459373313,2026-03-20
B000006643,복내초등학교,초등학교,1920-10-02,공립,본교,운영,전라남도 보성군 복내면 복내리 322,전라남도 보성군 복내면 원봉길 5,8490000,전라남도교육청,8601000,전라남도보성교육지원청,2013-11-29,2025-10-25,34.8987188609,127.1282108449,2026-03-20
B000010301,왕신여자중학교,중학교,1964-01-04,사립,본교,운영,전북특별자치도 정읍시 신태인읍 신태인리 86-2,전북특별자치도 정읍시 신태인읍 정신로 1094,8321000,전북특별자치도교육청,8362000,전북특별자치도정읍교육지원청,2013-11-29,2025-10-25,35.6828796363,126.8894006286,2026-03-20
B000011377,부산공업고등학교,고등학교,1924-05-05,공립,본교,운영,부산광역시 남구 대연동 918-1,부산광역시 남구 수영로196번길 80,7150000,부산광역시교육청,7181000,부산광역시남부교육지원청,2013-11-29,2025-10-25,35.1301674054,129.0876872188,2026-03-20
B000010444,무선중학교,중학교,2000-03-01,공립,본교,운영,전라남도 여수시 화장동 848,전라남도 여수시 대통1길 29,8490000,전라남도교육청,8511000,전라남도여수교육지원청,2013-11-29,2025-10-25,34.7771634783,127.6411765319,2026-03-20
B000013291,창원여자고등학교,고등학교,1983-03-01,공립,본교,운영,경상남도 창원시 성산구 중앙동 116,경상남도 창원시 성산구 두대로 153,9010000,경상남도교육청,9022000,경상남도창원교육지원청,2013-11-29,2025-10-25,35.2278895605,128.6612261949,2026-03-20
B000002391,서울삼선초등학교,초등학교,1949-09-01,공립,본교,운영,서울특별시 성북구 삼선동3가 30-4,서울특별시 성북구 보문로29길 106,7010000,서울특별시교육청,7121200,서울특별시성북강북교육지원청,2013-11-29,2025-10-25,37.5871415236,127.0126718442,2026-03-20
B000013514,학남고등학교,고등학교,2003-03-01,공립,본교,운영,대구광역시 북구 국우동 1080-1,대구광역시 북구 학남로 78,7240000,대구광역시교육청,7261000,대구광역시서부교육지원청,2013-11-29,2025-10-25,35.94627087,128.5691977232,2026-03-20
B000009292,단원중학교,중학교,2006-03-01,공립,본교,운영,경기도 안산시 단원구 고잔동 431-4,경기도 안산시 단원구 단원로 27,7530000,경기도교육청,7611000,경기도안산교육지원청,2013-11-29,2025-10-25,37.3279499919,126.822711,2026-03-20
B000007705,대감초등학교,초등학교,1944-04-24,공립,본교,운영,경상남도 김해시 대동면 대감리 805-1,경상남도 김해시 대동면 대동로 993,9010000,경상남도교육청,9091000,경상남도김해교육지원청,2013-11-29,2025-10-25,35.2735818073,128.9811348924,2026-03-20
B000011594,증평공업고등학교,고등학교,1951-09-25,공립,본교,운영,충청북도 증평군 증평읍 증천리 713,충청북도 증평군 증평읍 광장로 180,8000000,충청북도교육청,8092000,충청북도괴산증평교육지원청,2013-11-29,2025-10-25,36.78091382,127.5903231,2026-03-20
B000009480,탄벌중학교,중학교,2005-03-05,공립,본교,운영,경기도 광주시 탄벌동 72-3,경기도 광주시 포돌이로 77,7530000,경기도교육청,7692000,경기도광주하남교육지원청,2013-11-29,2025-10-25,37.4130626056,127.2438457519,2026-03-20
