학교명,SAI_before,SAI_after,공동수업과목수,공동수업참여가능,SAI_delta,algorithm
호수돈여자고등학교,74.3514615304055,84.13287641091253,6,보문고등학교:진로·융합(1.4km); 호수돈여자고등학교:제2외국어·국제(0.0km); 보문고등학교:정보·AI(1.4km); 대전동산고등학교:예체능(1.5km); 대전동산고등학교:인문·사회(1.5km); 서대전여자고등학교:자연·공학(4.0km),9.781414880507029,greedy_baseline
충남여자고등학교,77.45086071420991,86.9981913053525,6,보문고등학교:진로·융합(1.4km); 호수돈여자고등학교:제2외국어·국제(0.4km); 보문고등학교:정보·AI(1.4km); 대전동산고등학교:예체능(1.6km); 대전동산고등학교:인문·사회(1.6km); 서대전여자고등학교:자연·공학(3.7km),9.547330591142597,greedy_baseline
대전성모여자고등학교,76.94056267149872,86.42496373614784,6,보문고등학교:진로·융합(1.7km); 호수돈여자고등학교:제2외국어·국제(0.6km); 보문고등학교:정보·AI(1.7km); 대전동산고등학교:예체능(1.4km); 대전동산고등학교:인문·사회(1.4km); 서대전여자고등학교:자연·공학(4.4km),9.48440106464912,greedy_baseline
대전예술고등학교,68.58090093100566,78.05848293760447,2,대전관저고등학교:정보·AI(4.0km); 서대전여자고등학교:자연·공학(3.9km),9.477582006598809,greedy_baseline
중일고등학교,74.87224827081133,84.00243956117657,2,대전용산고등학교:정보·AI(0.6km); 대전용산고등학교:진로·융합(0.6km),9.130191290365246,greedy_baseline
한밭고등학교,75.52323130515661,84.5795397487783,5,호수돈여자고등학교:제2외국어·국제(5.0km); 대전동산고등학교:예체능(4.9km); 대전동산고등학교:인문·사회(4.9km); 대전관저고등학교:정보·AI(4.6km); 서대전여자고등학교:자연·공학(2.1km),9.056308443621688,greedy_baseline
대전전민고등학교,75.97554358625887,84.8450401510288,2,대전용산고등학교:정보·AI(2.5km); 대전용산고등학교:진로·융합(2.5km),8.869496564769932,greedy_baseline
대전둔산여자고등학교,80.06090166329491,88.79265259100497,6,보문고등학교:진로·융합(4.9km); 호수돈여자고등학교:제2외국어·국제(4.7km); 보문고등학교:정보·AI(4.9km); 대전동산고등학교:예체능(5.0km); 대전동산고등학교:인문·사회(5.0km); 서대전여자고등학교:자연·공학(2.8km),8.731750927710053,greedy_baseline
서일여자고등학교,74.79599439696715,83.30342602574478,2,서일여자고등학교:제2외국어·국제(0.0km); 대전관저고등학교:정보·AI(2.2km),8.507431628777638,greedy_baseline
대덕고등학교,77.99512423989293,86.40347436678634,2,대전용산고등학교:정보·AI(3.9km); 대전용산고등학교:진로·융합(3.9km),8.40835012689341,greedy_baseline
서일고등학교,76.00329209043693,84.26497046997243,2,서일여자고등학교:제2외국어·국제(0.1km); 대전관저고등학교:정보·AI(2.3km),8.261678379535496,greedy_baseline
대전이문고등학교,79.97076667650514,87.9780052503361,2,대전용산고등학교:정보·AI(3.8km); 대전용산고등학교:진로·융합(3.8km),8.00723857383096,greedy_baseline
대전한빛고등학교,69.84421811402089,77.431911435572,4,대전동산고등학교:예체능(4.8km); 대전동산고등학교:인문·사회(4.8km); 서일여자고등학교:제2외국어·국제(4.7km); 대전관저고등학교:정보·AI(4.6km),7.587693321551114,greedy_baseline
대전둔원고등학교,85.08936331126027,88.56165899625279,7,보문고등학교:진로·융합(4.6km); 호수돈여자고등학교:제2외국어·국제(4.1km); 보문고등학교:정보·AI(4.6km); 대전동산고등학교:예체능(4.1km); 대전동산고등학교:인문·사회(4.1km); 대전관저고등학교:정보·AI(4.8km),3.472295684992517,greedy_baseline
대전중앙고등학교,82.85351840185919,85.91814716067555,6,보문고등학교:진로·융합(0.9km); 호수돈여자고등학교:제2외국어·국제(1.3km); 보문고등학교:정보·AI(0.9km); 대전동산고등학교:예체능(2.6km); 대전동산고등학교:인문·사회(2.6km); 서대전여자고등학교:자연·공학(4.2km),3.0646287588163545,greedy_baseline
대전제일고등학교,76.13307508210748,78.56272952045255,6,호수돈여자고등학교:제2외국어·국제(4.1km); 대전동산고등학교:예체능(2.9km); 대전동산고등학교:인문·사회(2.9km); 서일여자고등학교:제2외국어·국제(4.9km); 대전관저고등학교:정보·AI(3.1km); 서대전여자고등학교:자연·공학(1.6km),2.429654438345068,greedy_baseline
대전복수고등학교,85.2858499442755,87.52051395211213,6,호수돈여자고등학교:제2외국어·국제(4.5km); 대전동산고등학교:예체능(3.1km); 대전동산고등학교:인문·사회(3.1km); 서일여자고등학교:제2외국어·국제(4.6km); 대전관저고등학교:정보·AI(3.3km); 서대전여자고등학교:자연·공학(2.7km),2.2346640078366278,greedy_baseline
