_norm_name,학교명,위도,경도,주소,SCHUL_NM,SD_SCHUL_CODE,HS_SC_NM,is_general_high_neis,학생수계,학급수계,2학년학생수,3학년학생수,교사수_알리미,교원총계,일반교사,일반교실,교과교실,특별교실,컴퓨터실,멀티미디어실,체육관,강당,진로상담실,is_general_high,과목수,계열폭,계열균형,공동수업과목수,과목다양성,계열폭점수,계열균형성,SAI,계열과목수_인문·사회,계열과목수_자연·공학,계열과목수_정보·AI,계열과목수_예체능,계열과목수_제2외국어·국제,계열과목수_진로·융합,SAI_algorithm
대전둔산여자고,대전둔산여자고등학교,36.35297303,127.3732835,대전광역시 서구 갈마역로 33,대전둔산여자고등학교,7430034,일반고,True,743,39,255,278,70,86,54,43.0,8.0,6,2.0,0.0,1.0,0.0,1.0,True,54,5,0.8991127897230398,0,56.25,83.33333333333334,89.91127897230398,82.92728097363974,17,18,3,6,10,0,sai_v4_incremental_offerings
대전괴정고,대전괴정고등학교,36.34040306,127.3788431,대전광역시 서구 가장로 15,대전괴정고등학교,7430237,일반고,True,789,32,261,286,59,68,41,32.0,4.0,6,1.0,0.0,1.0,0.0,1.0,True,53,5,0.8796151771604339,0,55.208333333333336,83.33333333333334,87.96151771604339,82.14069786728186,20,16,0,5,9,3,sai_v4_incremental_offerings
대전이문고,대전이문고등학교,36.44731214,127.4234779,대전광역시 대덕구 석봉로 15,대전이문고등학교,7430240,일반고,True,482,25,160,165,46,53,20,24.0,11.0,17,1.0,0.0,2.0,2.0,1.0,True,70,5,0.8177197703960413,0,72.91666666666666,83.33333333333334,81.77197703960412,81.74519196386146,27,25,5,2,11,0,sai_v4_incremental_offerings
대전지족고,대전지족고등학교,36.37803212,127.3156568,대전광역시 유성구 노은서로 202,대전지족고등학교,7430149,일반고,True,947,34,312,341,64,79,48,34.0,7.0,10,1.0,0.0,0.0,1.0,1.0,True,57,5,0.8467795267737603,0,59.375,83.33333333333334,84.67795267737603,81.40811677041495,23,18,0,7,7,2,sai_v4_incremental_offerings
대전관저고,대전관저고등학교,36.31080711,127.3377631,대전광역시 서구 관저북로 94,대전관저고등학교,7430033,일반고,True,710,28,229,254,52,65,36,28.0,5.0,8,1.0,0.0,1.0,0.0,0.0,True,49,5,0.86927117390001,0,51.041666666666664,83.33333333333334,86.927117390001,81.36199108650037,16,18,2,6,7,0,sai_v4_incremental_offerings
대전구봉고,대전구봉고등학교,36.29557493,127.3310026,대전광역시 서구 관저서로 36,대전구봉고등학교,7430150,일반고,True,740,29,237,263,55,70,35,29.0,9.0,7,1.0,0.0,1.0,0.0,3.0,True,47,5,0.8664777797525044,0,48.95833333333333,83.33333333333334,86.64777797525043,81.05588895800432,17,16,2,6,6,0,sai_v4_incremental_offerings
대덕고,대덕고등학교,36.38757339,127.3816844,대전광역시 유성구 대덕대로556번길 158,대덕고등학교,7430030,일반고,True,549,31,188,196,58,73,42,31.0,6.0,9,2.0,0.0,1.0,1.0,1.0,True,56,5,0.830238360877072,0,58.333333333333336,83.33333333333334,83.02383608770721,80.7250092973642,25,16,2,6,7,0,sai_v4_incremental_offerings
대전성모여자고,대전성모여자고등학교,36.32246468,127.4182965,대전광역시 중구 대흥로 62,대전성모여자고등학교,7430051,일반고,True,504,24,166,185,47,54,26,24.0,16.0,7,1.0,3.0,1.0,0.0,1.0,True,43,5,0.8641474392185186,0,44.79166666666667,83.33333333333334,86.41474392185185,80.55766037264816,11,17,0,6,8,1,sai_v4_incremental_offerings
대전도안고,대전도안고등학교,36.33692213,127.3373195,대전광역시 유성구 원신흥남로 51,대전도안고등학교,7430290,일반고,True,943,35,309,330,66,75,46,34.0,7.0,5,1.0,0.0,1.0,0.0,1.0,True,46,5,0.8514802981795497,0,47.91666666666667,83.33333333333334,85.14802981795498,80.42681043628426,17,16,2,4,7,0,sai_v4_incremental_offerings
호수돈여자고,호수돈여자고등학교,36.32671701,127.4144851,대전광역시 중구 선화로 50,호수돈여자고등학교,7430067,일반고,True,590,31,199,195,56,63,33,31.0,1.0,3,1.0,0.0,2.0,1.0,1.0,True,47,5,0.8449024605113097,0,48.95833333333333,83.33333333333334,84.49024605113097,80.3007527845625,14,20,2,5,6,0,sai_v4_incremental_offerings
충남여자고,충남여자고등학교,36.32974636,127.4112877,대전광역시 중구 선화로43번길 77,충남여자고등학교,7430044,일반고,True,881,43,281,335,76,90,57,42.0,0.0,5,0.0,0.0,1.0,0.0,1.0,True,55,5,0.8196140828033701,0,57.291666666666664,83.33333333333334,81.96140828033701,80.24899289811796,22,18,1,5,9,0,sai_v4_incremental_offerings
대전제일고,대전제일고등학교,36.31331472,127.3723589,대전광역시 서구 배재로46번길 77,대전제일고등학교,7430242,일반고,True,537,24,180,204,45,50,16,24.0,7.0,6,1.0,0.0,1.0,0.0,2.0,True,44,5,0.8361502568615274,0,45.83333333333333,83.33333333333334,83.61502568615275,79.68192565682013,17,14,1,4,8,0,sai_v4_incremental_offerings
서대전고,서대전고등학교,36.36013353,127.3695006,대전광역시 서구 월평동로 60,서대전고등학교,7430059,일반고,True,564,31,196,186,57,64,25,31.0,0.0,9,1.0,0.0,2.0,0.0,1.0,True,52,5,0.8044172564112467,0,54.166666666666664,83.33333333333334,80.44172564112468,79.40460397439365,18,21,0,4,8,1,sai_v4_incremental_offerings
동대전고,동대전고등학교,36.35628714,127.4236428,대전광역시 대덕구 청림길 33,동대전고등학교,7430039,일반고,True,903,36,303,321,68,74,46,36.0,5.0,8,1.0,0.0,0.0,1.0,1.0,True,48,5,0.8102947550279864,0,50.0,83.33333333333334,81.02947550279865,79.19364975931286,18,18,1,4,7,0,sai_v4_incremental_offerings
대전전민고,대전전민고등학교,36.39833683,127.3983327,대전광역시 유성구 전민로 63,대전전민고등학교,7430148,일반고,True,614,30,212,209,55,67,38,31.0,1.0,6,1.0,0.0,1.0,0.0,1.0,True,50,5,0.8020927067338325,0,52.083333333333336,83.33333333333334,80.20927067338324,79.11491140235081,19,19,1,7,4,0,sai_v4_incremental_offerings
서일고,서일고등학교,36.29332636,127.3236362,대전광역시 서구 계백로828번길 30,서일고등학교,7430061,일반고,True,576,27,194,204,51,56,22,27.0,6.0,4,1.0,0.0,1.0,0.0,1.0,True,51,5,0.7979594127645361,0,53.125,83.33333333333334,79.7959412764536,79.0744127800921,20,19,0,4,7,1,sai_v4_incremental_offerings
대전만년고,대전만년고등학교,36.36726986,127.3729925,대전광역시 서구 만년로 6,대전만년고등학교,7430035,일반고,True,661,29,218,247,54,72,37,29.0,4.0,8,1.0,0.0,1.0,0.0,1.0,True,52,5,0.7936217092276879,0,54.166666666666664,83.33333333333334,79.3621709227688,79.02675982296908,21,19,1,4,7,0,sai_v4_incremental_offerings
중일고,중일고등학교,36.42052491,127.3886965,대전광역시 유성구 배울2로 68,중일고등학교,7430065,일반고,True,665,24,211,250,44,52,17,24.0,5.0,5,1.0,0.0,1.0,0.0,0.0,True,38,5,0.8296832839279427,0,39.58333333333333,83.33333333333334,82.96832839279426,78.83058160414465,14,14,1,4,5,0,sai_v4_incremental_offerings
남대전고,남대전고등학교,36.31074837,127.4278195,대전광역시 중구 보문로111번길 63,남대전고등학교,7430046,일반고,True,625,30,217,238,54,60,33,30.0,8.0,5,1.0,1.0,1.0,0.0,1.0,True,48,5,0.7915158628346198,0,50.0,83.33333333333334,79.15158628346198,78.53638853254503,18,20,2,3,5,0,sai_v4_incremental_offerings
한밭고,한밭고등학교,36.34649685,127.3643986,대전광역시 서구 신갈마로141번길 58,한밭고등학교,7430045,일반고,True,733,32,237,280,59,69,44,32.0,4.0,4,1.0,0.0,2.0,2.0,2.0,True,52,5,0.7793172819535714,0,54.166666666666664,83.33333333333334,77.93172819535714,78.52610486837501,22,19,0,4,6,1,sai_v4_incremental_offerings
서일여자고,서일여자고등학교,36.29429961,127.3235457,대전광역시 서구 구봉산북로 22,서일여자고등학교,7430062,일반고,True,462,24,162,155,45,51,17,24.0,5.0,11,1.0,1.0,1.0,0.0,0.0,True,42,5,0.8078001683205717,0,43.75,83.33333333333334,80.78001683205717,78.48133922455335,15,17,0,4,5,1,sai_v4_incremental_offerings
대전동산고,대전동산고등학교,36.31611842,127.4044918,대전광역시 중구 문화로 183,대전동산고등학교,7430049,일반고,True,721,34,244,268,61,67,34,33.0,8.0,5,2.0,0.0,3.0,0.0,1.0,True,47,5,0.7922782134966639,0,48.95833333333333,83.33333333333334,79.2278213496664,78.4589041390499,17,19,1,3,7,0,sai_v4_incremental_offerings
대전가오고,대전가오고등학교,36.3106602,127.4544751,대전광역시 동구 신기로 71,대전가오고등학교,7430241,일반고,True,670,27,213,235,50,57,30,27.0,4.0,5,1.0,0.0,2.0,0.0,0.0,True,39,5,0.800210182194274,0,40.625,83.33333333333334,80.0210182194274,77.90318971013293,16,14,1,3,5,0,sai_v4_incremental_offerings
대전한빛고,대전한빛고등학교,36.28124455,127.3733529,대전광역시 중구 대둔산로 119-37,대전한빛고등학교,7430138,일반고,True,558,24,182,200,45,53,20,24.0,3.0,12,2.0,0.0,1.0,1.0,1.0,True,45,4,0.913447282732288,0,46.875,66.66666666666666,91.34472827322881,73.32482156229675,15,18,0,5,7,0,sai_v4_incremental_offerings
보문고,보문고등학교,36.33697696,127.4241257,대전광역시 동구 우암로 57,보문고등학교,7430057,일반고,True,612,36,224,192,68,77,32,36.0,4.0,6,1.0,0.0,2.0,1.0,1.0,True,48,4,0.9022873338447037,0,50.0,66.66666666666666,90.22873338447037,73.2467233512313,19,17,0,5,7,0,sai_v4_incremental_offerings
신탄진고,신탄진고등학교,36.44970668,127.4359505,대전광역시 대덕구 신탄진북로 14,신탄진고등학교,7430041,일반고,True,457,25,149,159,47,59,31,26.0,0.0,7,1.0,0.0,1.0,0.0,0.0,True,40,4,0.9008047485295136,0,41.66666666666667,66.66666666666666,90.08047485295137,72.36149953186631,16,14,0,4,6,0,sai_v4_incremental_offerings
서대전여자고,서대전여자고등학교,36.32773715,127.369556,대전광역시 서구 배재로197번길 20,서대전여자고등학교,7430060,일반고,True,389,24,133,126,47,52,14,24.0,7.0,5,1.0,0.0,0.0,1.0,1.0,True,40,4,0.9002064994687103,0,41.66666666666667,66.66666666666666,90.02064994687103,72.3405608147382,13,16,0,3,8,0,sai_v4_incremental_offerings
우송고,우송고등학교,36.33562875,127.4428489,대전광역시 동구 동대전로131번길 53,우송고등학교,7430140,일반고,True,805,32,264,278,57,63,27,0.0,41.0,6,1.0,1.0,0.0,2.0,1.0,True,46,4,0.8719473215039634,0,47.91666666666667,66.66666666666666,87.19473215039633,71.97648958597205,13,22,0,4,7,0,sai_v4_incremental_offerings
대전예술고,대전예술고등학교,36.34695405,127.33356,대전광역시 유성구 월드컵대로308번길 33,대전예술고등학교,7430053,일반고,True,394,18,136,132,109,114,19,18.0,2.0,46,1.0,0.0,1.0,0.0,0.0,True,96,5,0.36421621707635204,0,100.0,83.33333333333334,36.421621707635204,68.58090093100566,7,2,0,82,4,1,sai_v4_incremental_offerings
