subject,standard_subject,domain,method,ignored,ignore_reason
연기5,연기5,예체능,rule,False,
영미문학읽기,영미문학읽기,인문·사회,rule,False,
영어1,영어1,제2외국어·국제,rule,False,
영어2,영어2,제2외국어·국제,rule,False,
영어권문화,영어권문화,제2외국어·국제,rule,False,
영어독해와작문,영어독해와작문,제2외국어·국제,rule,False,
영어회화,영어회화,제2외국어·국제,rule,False,
영화감상과비평,영화감상과비평,예체능,rule,False,
운동과건강,운동과건강,예체능,rule,False,
윤리와사상,윤리와사상,인문·사회,rule,False,
윤리와사상B,윤리와사상,인문·사회,rule,False,
윤리와사상C,윤리와사상,인문·사회,rule,False,
윤리와사상_윤리와사상2-8,윤리와사상_윤리와사,인문·사회,rule,False,
융합과학,융합과학,자연·공학,rule,False,
융합과학탐구,융합과학탐구,자연·공학,rule,False,
음악,음악,예체능,dict,False,
음악감상과비평,음악감상과비평,예체능,rule,False,
음악연주,음악연주,예체능,rule,False,
인공지능과미래사회,인공지능과미래사회,정보·AI,rule,False,
인공지능과피지컬컴퓨팅,인공지능과피지컬컴퓨팅,정보·AI,rule,False,
인공지능기초,인공지능기초,정보·AI,dict,False,
인공지능기초D,인공지능기초,정보·AI,dict,False,
인공지능수학,인공지능수학,정보·AI,rule,False,
인문학적상상여행,인문학적상상여행,인문·사회,rule,False,
일본문화,일본문화,제2외국어·국제,rule,False,
일본어1,일본어1,제2외국어·국제,rule,False,
일본어2,일본어2,제2외국어·국제,rule,False,
일본어회화1,일본어회화1,제2외국어·국제,rule,False,
일본어회화2,일본어회화2,제2외국어·국제,rule,False,
입체조형,입체조형,예체능,rule,False,
자료구조,자료구조,정보·AI,rule,False,
작곡2,작곡2,예체능,rule,False,
작곡3,작곡3,예체능,rule,False,
작곡4,작곡4,예체능,rule,False,
작곡5,작곡5,예체능,rule,False,
전공기초일본어,전공기초일본어,제2외국어·국제,rule,False,
전공기초중국어,전공기초중국어,인문·사회,rule,False,
정보,정보,정보·AI,dict,False,
정보과제연구,정보과제연구,정보·AI,rule,False,
정보과학,정보과학,정보·AI,rule,False,
정치와법,정치와법,인문·사회,dict,False,
정치와법_정치와법2-4,정치와법_정치와,인문·사회,rule,False,
중국문화,중국문화,제2외국어·국제,rule,False,
중국어1,중국어1,인문·사회,rule,False,
중국어2,중국어2,인문·사회,rule,False,
중국어회화1,중국어회화1,인문·사회,rule,False,
중국어회화2,중국어회화2,인문·사회,rule,False,
지구과학1,지구과학1,자연·공학,rule,False,
지구과학1_지구과학12-1,지구과학1_지구과,자연·공학,rule,False,
지구과학2,지구과학2,자연·공학,rule,False,
지구과학2_지구과학23-3,지구과학2_지구과,자연·공학,rule,False,
지리과제연구,지리과제연구,자연·공학,rule,False,
지식재산일반,지식재산일반,진로·융합,rule,False,
지역이해,지역이해,제2외국어·국제,rule,False,
진로영어,진로영어,제2외국어·국제,rule,False,
진로영어B토의2,진로영어B토의2,제2외국어·국제,rule,False,
진로와직업,진로와직업,진로·융합,rule,False,
창의경영,창의경영,진로·융합,rule,False,
철학,철학,인문·사회,rule,False,
체육,체육,예체능,dict,False,
체육과진로탐구,체육과진로탐구,예체능,rule,False,
체육탐구,체육탐구,예체능,rule,False,
타악기2,타악기2,예체능,rule,False,
타악기4,타악기4,예체능,rule,False,
타악기5,타악기5,예체능,rule,False,
프랑스어1,프랑스어1,제2외국어·국제,rule,False,
프랑스어2,프랑스어2,제2외국어·국제,rule,False,
프로그래밍,프로그래밍,정보·AI,rule,False,
피아노2,피아노2,예체능,rule,False,
피아노3,피아노3,예체능,rule,False,
피아노4,피아노4,예체능,rule,False,
피아노5,피아노5,예체능,rule,False,
한국무용2,한국무용2,예체능,rule,False,
한국무용3,한국무용3,예체능,rule,False,
한국무용4,한국무용4,예체능,rule,False,
